,tweet_id,location
0,892420643555336193,
1,892177421306343426,
2,891815181378084864,
3,891689557279858688,
4,891327558926688256,
5,891087950875897856,
6,890971913173991426,
7,890729181411237888,
8,890609185150312448,
9,890240255349198849,
10,890006608113172480,
11,889880896479866881,
12,889665388333682689,
13,889638837579907072,
14,889531135344209921,
15,889278841981685760,
16,888917238123831296,
17,888804989199671297,
18,888554962724278272,
19,888078434458587136,
20,887705289381826560,
21,887517139158093824,
22,887473957103951883,
23,887343217045368832,
24,887101392804085760,
25,886983233522544640,
26,886736880519319552,
27,886680336477933568,
28,886366144734445568,
29,886267009285017600,
30,886258384151887873,
31,886054160059072513,
32,885984800019947520,
33,885528943205470208,
34,885518971528720385,
35,885311592912609280,
36,885167619883638784,
37,884925521741709313,
38,884876753390489601,
39,884562892145688576,
40,884441805382717440,
41,884247878851493888,
42,884162670584377345,
43,883838122936631299,
44,883482846933004288,
45,883360690899218434,
46,883117836046086144,
47,882992080364220416,
48,882762694511734784,
49,882627270321602560,
50,882268110199369728,
51,882045870035918850,
52,881906580714921986,
53,881666595344535552,
54,881633300179243008,
55,881536004380872706,
56,881268444196462592,
57,880935762899988482,
58,880872448815771648,
59,880465832366813184,
60,880221127280381952,
61,880095782870896641,
62,879862464715927552,
63,879674319642796034,
64,879492040517615616,
65,879415818425184262,
66,879376492567855104,
67,879130579576475649,
68,879050749262655488,
69,879008229531029506,
70,878776093423087618,
71,878604707211726852,
72,878404777348136964,
73,878316110768087041,
74,878281511006478336,
75,878057613040115712,
76,877736472329191424,
77,877611172832227328,
78,877556246731214848,
79,877316821321428993,
80,877201837425926144,
81,876838120628539392,
82,876537666061221889,
83,876484053909872640,
84,876120275196170240,
85,875747767867523072,
86,875144289856114688,
87,875097192612077568,
88,875021211251597312,
89,874680097055178752,
90,874434818259525634,
91,874296783580663808,
92,874057562936811520,
93,874012996292530176,
94,873580283840344065,
95,873337748698140672,
96,873213775632977920,
97,872967104147763200,
98,872820683541237760,
99,872620804844003328,
100,872486979161796608,
101,872122724285648897,
102,871879754684805121,
103,871762521631449091,
104,871515927908634625,
105,871166179821445120,
106,871102520638267392,
107,871032628920680449,
108,870804317367881728,
109,870726314365509632,
110,870656317836468226,
111,870374049280663552,
112,870308999962521604,
113,870063196459192321,
114,869772420881756160,
115,869702957897576449,
116,869596645499047938,
117,869227993411051520,
118,868880397819494401,
119,868639477480148993,
120,868622495443632128,
121,868552278524837888,
122,867900495410671616,
123,867774946302451713,
124,867421006826221569,
125,867072653475098625,
126,867051520902168576,
127,866720684873056260,
128,866686824827068416,
129,866450705531457537,
130,866334964761202691,
131,866094527597207552,
132,865718153858494464,
133,865359393868664832,
134,865006731092295680,
135,864873206498414592,
136,864279568663928832,
137,864197398364647424,
138,863907417377173506,
139,863553081350529029,
140,863471782782697472,
141,863432100342583297,
142,863427515083354112,
143,863079547188785154,
144,863062471531167744,
145,862831371563274240,
146,862722525377298433,
147,862457590147678208,
148,862096992088072192,
149,861383897657036800,
150,861288531465048066,
151,861005113778896900,
152,860981674716409858,
153,860924035999428608,
154,860563773140209665,
155,860524505164394496,
156,860276583193509888,
157,860184849394610176,
158,860177593139703809,
159,859924526012018688,
160,859851578198683649,
